,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
3044,INN03045,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Online,0,0,0,120.0,0,Canceled
11022,INN11023,1,0,4,6,Meal Plan 1,0,Room_Type 1,243,2018,9,4,Online,0,0,0,89.17,0,Canceled
27167,INN27168,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,2018,8,9,Offline,0,0,0,112.0,1,Canceled
24904,INN24905,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,8,29,Offline,0,0,0,80.0,0,Not_Canceled
21691,INN21692,1,0,1,0,Not Selected,0,Room_Type 1,3,2018,10,10,Online,0,0,0,134.0,0,Not_Canceled
8445,INN08446,2,0,0,2,Meal Plan 2,0,Room_Type 4,60,2018,9,29,Online,0,0,0,149.77,3,Not_Canceled
32200,INN32201,1,0,1,5,Meal Plan 1,0,Room_Type 1,16,2018,11,7,Online,0,0,0,156.92,0,Canceled
23702,INN23703,2,0,0,1,Not Selected,0,Room_Type 1,36,2018,5,7,Online,0,0,0,104.49,0,Not_Canceled
6159,INN06160,2,2,0,2,Meal Plan 1,0,Room_Type 6,11,2017,8,28,Online,0,0,0,153.0,2,Not_Canceled
13515,INN13516,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,20,Online,0,0,0,108.0,0,Not_Canceled
19543,INN19544,2,0,2,1,Meal Plan 1,0,Room_Type 1,159,2018,8,7,Online,0,0,0,114.3,0,Canceled
12569,INN12570,2,0,3,6,Meal Plan 1,0,Room_Type 1,140,2017,8,10,Online,0,0,0,76.5,2,Not_Canceled
6022,INN06023,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,9,15,Online,0,0,0,163.0,0,Not_Canceled
5092,INN05093,1,0,0,4,Meal Plan 1,0,Room_Type 1,92,2017,10,7,Offline,0,0,0,65.0,0,Not_Canceled
13569,INN13570,2,0,1,2,Meal Plan 1,0,Room_Type 1,304,2018,10,21,Online,0,0,0,74.15,0,Canceled
11211,INN11212,2,1,0,4,Meal Plan 1,0,Room_Type 2,11,2017,9,8,Offline,0,0,0,78.94,2,Not_Canceled
11221,INN11222,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Offline,0,0,0,110.0,0,Canceled
29807,INN29808,3,0,1,3,Meal Plan 1,0,Room_Type 4,184,2018,10,17,Online,0,0,0,128.7,2,Canceled
10828,INN10829,2,0,0,4,Meal Plan 1,0,Room_Type 1,115,2018,5,11,Online,0,0,0,109.65,0,Canceled
23121,INN23122,2,0,1,2,Meal Plan 1,0,Room_Type 1,31,2017,12,28,Offline,0,0,0,80.0,0,Not_Canceled
31939,INN31940,2,1,0,1,Meal Plan 1,0,Room_Type 1,110,2018,6,3,Online,0,0,0,143.1,3,Not_Canceled
17515,INN17516,2,0,1,2,Meal Plan 2,1,Room_Type 4,19,2018,3,11,Online,0,0,0,171.0,2,Not_Canceled
27594,INN27595,2,1,2,5,Meal Plan 1,0,Room_Type 1,187,2018,8,28,Online,0,0,0,111.35,0,Canceled
27521,INN27522,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,20,Online,0,0,0,108.0,1,Not_Canceled
3659,INN03660,2,0,1,1,Meal Plan 1,0,Room_Type 1,168,2018,10,1,Online,0,0,0,127.0,2,Canceled
3326,INN03327,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,11,8,Corporate,0,0,0,170.0,0,Not_Canceled
9465,INN09466,2,0,2,1,Meal Plan 1,0,Room_Type 4,118,2018,10,29,Online,0,0,0,104.4,1,Not_Canceled
15033,INN15034,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,24,Online,0,0,0,97.0,0,Not_Canceled
27514,INN27515,2,0,0,3,Meal Plan 2,0,Room_Type 4,58,2018,4,5,Online,0,0,0,153.0,1,Not_Canceled
2663,INN02664,2,0,2,4,Meal Plan 1,0,Room_Type 1,160,2018,4,27,Online,0,0,0,90.0,0,Canceled
22617,INN22618,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,139.5,2,Not_Canceled
21762,INN21763,1,0,0,2,Meal Plan 1,0,Room_Type 4,53,2018,6,17,Online,0,0,0,140.4,0,Canceled
26396,INN26397,2,0,1,1,Meal Plan 1,0,Room_Type 1,47,2018,4,11,Online,0,0,0,105.3,0,Canceled
25938,INN25939,2,0,2,3,Meal Plan 1,0,Room_Type 1,102,2018,11,17,Online,0,0,0,85.0,2,Canceled
33443,INN33444,2,0,2,0,Not Selected,0,Room_Type 1,26,2018,10,9,Online,0,0,0,119.0,1,Canceled
27829,INN27830,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,5,12,Corporate,0,0,0,129.0,0,Not_Canceled
21917,INN21918,2,0,1,0,Meal Plan 1,1,Room_Type 1,74,2018,8,28,Online,0,0,0,135.9,0,Not_Canceled
11673,INN11674,1,0,0,3,Meal Plan 1,0,Room_Type 4,9,2018,7,13,Online,0,0,0,166.0,1,Not_Canceled
16388,INN16389,2,0,0,2,Not Selected,0,Room_Type 1,125,2018,6,17,Online,0,0,0,116.1,1,Not_Canceled
33554,INN33555,2,0,1,1,Not Selected,1,Room_Type 1,220,2018,8,15,Online,0,0,0,99.0,1,Not_Canceled
1927,INN01928,2,0,2,2,Meal Plan 1,0,Room_Type 4,76,2018,4,30,Online,0,0,0,132.6,0,Not_Canceled
31990,INN31991,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,8,1,Corporate,0,0,0,65.0,1,Not_Canceled
14132,INN14133,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,16,Online,0,0,0,100.75,0,Canceled
35145,INN35146,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
36206,INN36207,2,0,1,3,Not Selected,0,Room_Type 1,40,2018,1,14,Online,0,0,0,69.5,1,Not_Canceled
26763,INN26764,2,0,1,1,Meal Plan 1,0,Room_Type 1,1,2017,8,8,Online,0,0,0,90.0,2,Not_Canceled
2880,INN02881,2,0,2,5,Meal Plan 1,0,Room_Type 4,51,2018,8,29,Online,0,0,0,123.3,0,Not_Canceled
22223,INN22224,2,0,1,2,Not Selected,0,Room_Type 1,59,2018,6,27,Online,0,0,0,101.1,0,Canceled
19765,INN19766,2,0,2,1,Not Selected,0,Room_Type 1,3,2017,10,10,Online,0,0,0,116.4,0,Not_Canceled
13562,INN13563,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,6,30,Online,0,0,0,107.0,0,Not_Canceled
9494,INN09495,1,0,1,1,Not Selected,0,Room_Type 1,13,2018,11,7,Online,0,0,0,134.75,1,Not_Canceled
30684,INN30685,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2017,10,23,Offline,0,0,0,88.5,0,Not_Canceled
21341,INN21342,2,2,2,1,Meal Plan 1,0,Room_Type 6,17,2018,3,26,Online,0,0,0,224.33,0,Canceled
6353,INN06354,1,0,1,2,Meal Plan 1,0,Room_Type 1,224,2017,10,2,Online,0,0,0,0.0,0,Not_Canceled
11154,INN11155,1,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,9,29,Corporate,0,0,0,65.0,0,Not_Canceled
27689,INN27690,2,0,2,2,Meal Plan 1,0,Room_Type 1,4,2018,2,12,Offline,0,0,0,85.0,0,Not_Canceled
16195,INN16196,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110.0,0,Canceled
22104,INN22105,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled
29509,INN29510,2,0,2,1,Meal Plan 2,0,Room_Type 1,128,2018,6,26,Offline,0,0,0,142.25,0,Not_Canceled
4620,INN04621,2,0,0,2,Meal Plan 1,0,Room_Type 1,235,2018,9,28,Online,0,0,0,97.71,0,Canceled
942,INN00943,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
13472,INN13473,2,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,3,7,Online,0,0,0,103.0,0,Not_Canceled
19619,INN19620,2,0,0,1,Not Selected,0,Room_Type 1,63,2018,6,9,Online,0,0,0,109.0,1,Not_Canceled
34722,INN34723,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,10,12,Complementary,1,0,8,0.0,1,Not_Canceled
19641,INN19642,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,12,23,Online,1,0,6,80.0,0,Not_Canceled
16577,INN16578,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,7,18,Online,0,0,0,81.08,1,Not_Canceled
16522,INN16523,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,115.0,1,Canceled
8368,INN08369,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,115.0,1,Canceled
8627,INN08628,3,0,1,4,Meal Plan 1,0,Room_Type 1,184,2018,7,11,Offline,0,0,0,96.9,1,Not_Canceled
24918,INN24919,2,0,2,4,Meal Plan 1,0,Room_Type 1,79,2018,3,30,Online,0,0,0,82.45,0,Canceled
16692,INN16693,2,0,1,3,Meal Plan 1,0,Room_Type 1,57,2018,10,17,Online,0,0,0,128.0,1,Not_Canceled
17949,INN17950,1,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,0,0,0,86.0,1,Not_Canceled
12156,INN12157,2,0,2,5,Meal Plan 1,0,Room_Type 4,19,2017,10,29,Online,0,0,0,115.11,1,Not_Canceled
6727,INN06728,2,0,2,3,Meal Plan 2,0,Room_Type 1,52,2018,12,3,Online,0,0,0,120.7,1,Not_Canceled
18519,INN18520,2,0,0,2,Meal Plan 1,1,Room_Type 1,30,2018,7,12,Online,0,0,0,144.9,1,Not_Canceled
30754,INN30755,1,0,1,3,Meal Plan 1,0,Room_Type 1,120,2018,5,12,Online,0,0,0,110.59,0,Canceled
27245,INN27246,2,0,0,3,Not Selected,0,Room_Type 1,161,2018,3,15,Online,0,0,0,60.98,1,Not_Canceled
4497,INN04498,2,0,2,2,Meal Plan 1,0,Room_Type 1,65,2018,10,16,Offline,0,0,0,80.75,0,Not_Canceled
35849,INN35850,2,0,1,4,Meal Plan 2,0,Room_Type 1,88,2018,5,9,Offline,0,0,0,105.0,0,Not_Canceled
20914,INN20915,2,0,0,4,Not Selected,0,Room_Type 1,31,2018,8,30,Online,0,0,0,99.0,0,Canceled
20258,INN20259,1,0,2,3,Meal Plan 1,0,Room_Type 1,90,2018,3,6,Online,0,0,0,74.95,0,Not_Canceled
25171,INN25172,2,0,1,4,Meal Plan 1,0,Room_Type 1,259,2018,12,28,Online,0,0,0,131.43,2,Not_Canceled
23777,INN23778,2,0,0,1,Meal Plan 1,0,Room_Type 1,18,2018,1,16,Online,0,0,0,89.0,1,Not_Canceled
18660,INN18661,2,0,2,5,Meal Plan 1,0,Room_Type 1,114,2017,11,30,Offline,0,0,0,41.43,0,Not_Canceled
23456,INN23457,2,0,1,3,Meal Plan 1,0,Room_Type 1,193,2018,8,18,Online,0,0,0,99.45,1,Not_Canceled
12817,INN12818,2,2,0,3,Meal Plan 1,0,Room_Type 6,55,2018,10,6,Online,0,0,0,190.8,0,Canceled
33736,INN33737,2,0,2,3,Not Selected,0,Room_Type 2,34,2017,10,15,Online,0,0,0,94.3,0,Not_Canceled
28960,INN28961,2,0,1,2,Meal Plan 1,0,Room_Type 1,203,2018,8,26,Offline,0,0,0,72.25,0,Not_Canceled
30934,INN30935,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,6,Online,0,0,0,95.0,1,Not_Canceled
35898,INN35899,2,0,0,1,Meal Plan 2,0,Room_Type 4,4,2018,3,5,Online,0,0,0,156.0,1,Not_Canceled
2623,INN02624,2,0,1,2,Meal Plan 1,0,Room_Type 1,100,2018,3,25,Online,0,0,0,93.3,1,Canceled
32102,INN32103,2,0,0,2,Not Selected,0,Room_Type 1,40,2018,9,6,Online,0,0,0,87.3,1,Not_Canceled
29148,INN29149,2,0,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,90.0,1,Not_Canceled
8534,INN08535,2,0,2,1,Meal Plan 1,0,Room_Type 4,27,2018,11,12,Online,0,0,0,119.33,1,Not_Canceled
18301,INN18302,1,0,1,1,Meal Plan 1,0,Room_Type 1,45,2018,11,19,Online,0,0,0,86.4,0,Canceled
16615,INN16616,2,0,1,0,Meal Plan 1,0,Room_Type 1,13,2018,3,20,Offline,0,0,0,85.0,1,Not_Canceled
8371,INN08372,2,0,1,3,Not Selected,0,Room_Type 1,64,2018,11,7,Online,0,0,0,121.72,0,Not_Canceled
30442,INN30443,2,0,2,0,Meal Plan 2,0,Room_Type 1,108,2018,5,8,Offline,0,0,0,110.75,0,Canceled
737,INN00738,2,0,2,5,Not Selected,0,Room_Type 1,104,2018,5,11,Online,0,0,0,109.65,0,Canceled
19222,INN19223,2,0,1,3,Meal Plan 1,0,Room_Type 1,130,2018,4,18,Online,0,0,0,84.15,0,Not_Canceled
30128,INN30129,2,1,2,2,Meal Plan 1,0,Room_Type 4,50,2018,5,14,Online,0,0,0,115.58,2,Not_Canceled
24600,INN24601,1,0,0,2,Meal Plan 1,0,Room_Type 1,63,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled
32415,INN32416,2,0,1,1,Meal Plan 1,0,Room_Type 4,44,2018,6,18,Offline,0,0,0,96.3,0,Not_Canceled
14057,INN14058,2,0,2,5,Meal Plan 1,0,Room_Type 5,50,2018,2,22,Offline,0,0,0,12.0,0,Canceled
14879,INN14880,2,0,2,2,Meal Plan 1,0,Room_Type 2,28,2018,2,5,Online,0,0,0,77.39,1,Not_Canceled
14249,INN14250,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Offline,0,0,0,62.8,0,Canceled
31782,INN31783,2,0,1,3,Meal Plan 1,0,Room_Type 1,194,2018,9,1,Online,0,0,0,102.85,0,Canceled
30630,INN30631,2,1,0,2,Meal Plan 1,0,Room_Type 1,179,2018,8,31,Online,0,0,0,127.8,0,Canceled
32271,INN32272,2,0,0,2,Meal Plan 1,0,Room_Type 1,322,2018,12,9,Offline,0,0,0,52.0,0,Not_Canceled
22089,INN22090,2,2,0,3,Meal Plan 1,0,Room_Type 6,7,2018,4,20,Online,0,0,0,201.0,1,Canceled
30136,INN30137,1,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Offline,0,0,0,81.0,0,Not_Canceled
9513,INN09514,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,12,20,Online,0,0,0,79.5,3,Not_Canceled
22319,INN22320,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
10187,INN10188,2,1,0,1,Meal Plan 1,1,Room_Type 4,0,2018,6,8,Online,0,0,0,148.0,2,Not_Canceled
6495,INN06496,2,0,0,2,Not Selected,0,Room_Type 1,72,2018,10,18,Online,0,0,0,108.0,1,Canceled
755,INN00756,2,0,0,2,Meal Plan 1,0,Room_Type 1,18,2017,12,1,Online,0,0,0,69.0,2,Not_Canceled
21304,INN21305,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90.0,0,Canceled
2779,INN02780,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,28,Offline,0,0,0,45.0,2,Not_Canceled
24503,INN24504,2,0,2,5,Meal Plan 1,0,Room_Type 1,206,2018,8,28,Online,0,0,0,99.21,1,Canceled
29953,INN29954,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
15802,INN15803,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,7,25,Corporate,1,0,8,65.0,1,Not_Canceled
25376,INN25377,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Offline,0,0,0,106.0,0,Canceled
2007,INN02008,1,0,1,2,Meal Plan 1,0,Room_Type 1,30,2018,2,12,Online,0,0,0,68.7,0,Canceled
32941,INN32942,1,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,87.0,0,Not_Canceled
6200,INN06201,2,2,0,4,Meal Plan 1,0,Room_Type 6,10,2017,8,25,Online,0,0,0,153.0,1,Not_Canceled
20308,INN20309,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,12,21,Corporate,0,0,0,65.0,0,Not_Canceled
16453,INN16454,2,0,2,4,Meal Plan 1,0,Room_Type 4,76,2018,10,30,Online,0,0,0,71.05,1,Not_Canceled
21751,INN21752,2,0,0,3,Meal Plan 1,0,Room_Type 4,62,2018,4,21,Online,0,0,0,91.48,1,Not_Canceled
8084,INN08085,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
15047,INN15048,2,0,0,4,Meal Plan 1,0,Room_Type 1,35,2017,10,20,Online,0,0,0,96.3,2,Not_Canceled
29678,INN29679,2,0,2,5,Not Selected,0,Room_Type 1,48,2018,11,13,Online,0,0,0,74.8,1,Canceled
5682,INN05683,2,0,2,2,Meal Plan 1,0,Room_Type 1,30,2018,6,19,Offline,0,0,0,85.5,0,Not_Canceled
35538,INN35539,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,29,Online,0,0,0,170.0,0,Not_Canceled
15653,INN15654,2,0,0,4,Meal Plan 2,0,Room_Type 1,100,2018,9,28,Offline,0,0,0,140.0,1,Not_Canceled
36240,INN36241,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,2018,10,9,Offline,0,0,0,85.5,0,Not_Canceled
18064,INN18065,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,10,11,Corporate,1,0,4,65.0,1,Not_Canceled
7557,INN07558,2,0,1,1,Meal Plan 1,0,Room_Type 1,5,2018,6,18,Online,0,0,0,141.0,1,Not_Canceled
8569,INN08570,2,0,1,0,Meal Plan 1,0,Room_Type 1,210,2018,10,3,Online,0,0,0,83.85,1,Not_Canceled
9661,INN09662,2,0,1,3,Meal Plan 1,0,Room_Type 1,42,2018,4,21,Online,0,0,0,103.84,1,Not_Canceled
15734,INN15735,2,0,0,3,Meal Plan 1,0,Room_Type 1,27,2018,12,7,Online,0,0,0,113.0,2,Not_Canceled
5961,INN05962,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2017,11,16,Corporate,1,0,1,65.0,0,Not_Canceled
18987,INN18988,2,0,0,3,Meal Plan 1,0,Room_Type 1,186,2018,11,24,Online,0,0,0,64.56,0,Canceled
12373,INN12374,2,0,2,3,Meal Plan 1,0,Room_Type 4,68,2018,4,17,Offline,0,0,0,90.95,0,Not_Canceled
7868,INN07869,2,0,2,4,Meal Plan 1,0,Room_Type 4,123,2018,5,22,Online,0,0,0,114.75,1,Canceled
1269,INN01270,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,8,2,Online,0,0,0,102.7,0,Not_Canceled
21797,INN21798,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,16,Online,0,0,0,100.75,0,Canceled
13733,INN13734,2,0,0,2,Meal Plan 1,0,Room_Type 4,47,2018,3,18,Online,0,0,0,112.5,1,Canceled
12697,INN12698,2,0,2,1,Meal Plan 1,0,Room_Type 4,149,2018,8,20,Online,0,0,0,118.8,0,Canceled
32597,INN32598,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
28806,INN28807,2,0,1,0,Meal Plan 1,0,Room_Type 1,55,2018,9,18,Online,0,0,0,135.9,1,Not_Canceled
6998,INN06999,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled
11283,INN11284,2,0,2,2,Meal Plan 1,0,Room_Type 1,1,2017,10,23,Online,0,0,0,96.3,1,Not_Canceled
27302,INN27303,1,0,0,1,Meal Plan 1,0,Room_Type 1,66,2018,9,7,Online,0,0,0,92.7,0,Canceled
8669,INN08670,1,0,0,3,Meal Plan 1,0,Room_Type 1,191,2018,6,23,Offline,0,0,0,95.0,0,Not_Canceled
9521,INN09522,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,2,23,Corporate,0,0,0,66.0,0,Not_Canceled
18667,INN18668,3,0,2,5,Meal Plan 1,0,Room_Type 4,127,2018,7,1,Online,0,0,0,127.62,0,Canceled
20116,INN20117,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110.0,0,Canceled
9045,INN09046,2,0,0,3,Meal Plan 1,0,Room_Type 1,59,2018,8,31,Online,0,0,0,109.8,1,Not_Canceled
23508,INN23509,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
33722,INN33723,2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,Not_Canceled
25327,INN25328,2,0,4,12,Not Selected,0,Room_Type 1,223,2018,9,2,Online,0,0,0,89.73,1,Canceled
22029,INN22030,2,0,0,3,Meal Plan 1,0,Room_Type 1,98,2018,5,17,Online,0,0,0,126.9,0,Not_Canceled
36013,INN36014,2,0,2,4,Meal Plan 1,0,Room_Type 4,20,2018,12,21,Online,0,0,0,96.9,2,Not_Canceled
34786,INN34787,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,11,21,Online,0,0,0,120.0,3,Not_Canceled
33199,INN33200,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
23004,INN23005,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,11,14,Online,0,0,0,88.8,0,Not_Canceled
30084,INN30085,2,0,1,1,Not Selected,0,Room_Type 1,82,2018,5,16,Online,0,0,0,116.1,1,Not_Canceled
5127,INN05128,3,0,2,1,Meal Plan 1,0,Room_Type 1,144,2018,7,23,Online,0,0,0,137.7,0,Canceled
9327,INN09328,2,0,0,1,Not Selected,0,Room_Type 1,13,2018,9,15,Corporate,0,0,0,100.0,1,Not_Canceled
26835,INN26836,2,0,0,2,Meal Plan 1,0,Room_Type 4,37,2017,10,22,Online,0,0,0,105.3,2,Not_Canceled
29140,INN29141,2,1,1,1,Not Selected,0,Room_Type 1,19,2018,9,19,Offline,0,0,0,95.9,1,Not_Canceled
1545,INN01546,2,1,1,2,Meal Plan 1,0,Room_Type 6,68,2018,5,13,Online,0,0,0,198.9,0,Canceled
739,INN00740,2,0,1,2,Meal Plan 1,0,Room_Type 1,128,2018,3,18,Online,0,0,0,67.22,0,Not_Canceled
11572,INN11573,1,0,1,0,Not Selected,0,Room_Type 1,65,2018,11,20,Online,0,0,0,79.2,0,Not_Canceled
10875,INN10876,2,0,0,1,Not Selected,0,Room_Type 1,252,2018,9,16,Online,0,0,0,95.4,2,Canceled
1674,INN01675,2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,Corporate,0,0,0,90.0,0,Canceled
16121,INN16122,2,0,1,2,Meal Plan 1,0,Room_Type 1,230,2018,9,2,Online,0,0,0,96.3,1,Not_Canceled
2567,INN02568,1,1,0,3,Meal Plan 1,0,Room_Type 1,178,2018,8,18,Online,0,0,0,124.5,0,Canceled
6984,INN06985,2,0,2,5,Not Selected,0,Room_Type 1,102,2017,7,29,Online,0,0,0,46.66,0,Not_Canceled
6795,INN06796,2,0,1,1,Not Selected,0,Room_Type 1,102,2018,12,5,Online,0,0,0,79.2,0,Canceled
32831,INN32832,2,0,0,3,Not Selected,0,Room_Type 1,45,2018,2,18,Online,0,0,0,70.5,1,Not_Canceled
19902,INN19903,2,0,0,3,Meal Plan 1,0,Room_Type 1,65,2017,10,8,Offline,0,0,0,72.25,0,Not_Canceled
29457,INN29458,2,0,2,5,Meal Plan 1,0,Room_Type 4,96,2018,11,6,Offline,0,0,0,78.2,0,Canceled
26930,INN26931,1,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,0,0,0,80.0,0,Not_Canceled
4732,INN04733,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,6,1,Online,0,0,0,116.1,1,Not_Canceled
32566,INN32567,2,0,0,2,Meal Plan 1,0,Room_Type 1,3,2017,9,3,Online,0,0,0,114.5,0,Not_Canceled
773,INN00774,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,6,2,Online,0,0,0,119.0,0,Not_Canceled
17249,INN17250,2,2,0,3,Meal Plan 1,0,Room_Type 6,1,2018,3,23,Online,0,0,0,211.0,0,Canceled
8521,INN08522,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2017,10,26,Offline,0,0,0,76.5,1,Not_Canceled
21584,INN21585,2,1,0,2,Meal Plan 1,0,Room_Type 1,127,2018,12,22,Online,0,0,0,106.2,3,Not_Canceled
34538,INN34539,2,0,0,2,Meal Plan 2,0,Room_Type 1,68,2017,9,29,Online,0,0,0,0.0,0,Not_Canceled
17025,INN17026,2,0,1,3,Meal Plan 1,0,Room_Type 1,54,2018,3,17,Online,0,0,0,89.46,1,Canceled
18,INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65.0,0,Canceled
2244,INN02245,1,0,0,2,Meal Plan 1,0,Room_Type 1,172,2018,6,24,Online,0,0,0,95.0,0,Canceled
27473,INN27474,2,0,1,2,Not Selected,0,Room_Type 1,83,2018,6,27,Online,0,0,0,74.1,0,Not_Canceled
3203,INN03204,2,0,1,3,Meal Plan 1,0,Room_Type 4,68,2018,9,8,Online,0,0,0,149.4,1,Not_Canceled
7288,INN07289,2,1,0,1,Meal Plan 1,0,Room_Type 1,36,2018,9,1,Online,0,0,0,126.0,1,Canceled
28885,INN28886,2,0,0,2,Meal Plan 1,0,Room_Type 1,27,2017,9,30,Offline,0,0,0,108.0,0,Not_Canceled
5204,INN05205,2,0,0,4,Not Selected,0,Room_Type 1,23,2018,8,31,Online,0,0,0,110.0,2,Not_Canceled
25441,INN25442,3,0,1,2,Meal Plan 1,0,Room_Type 4,89,2018,7,25,Online,0,0,0,137.7,0,Canceled
13708,INN13709,2,0,0,1,Meal Plan 1,0,Room_Type 1,42,2017,9,30,Online,0,0,0,86.4,1,Not_Canceled
27561,INN27562,1,0,2,3,Not Selected,0,Room_Type 1,6,2018,11,24,Online,0,0,0,68.67,0,Not_Canceled
20995,INN20996,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
36172,INN36173,1,0,0,2,Meal Plan 1,0,Room_Type 4,1,2018,9,27,Online,0,0,0,205.0,1,Not_Canceled
6923,INN06924,2,0,1,2,Meal Plan 1,0,Room_Type 5,15,2018,2,5,Corporate,0,0,0,97.0,0,Not_Canceled
20224,INN20225,2,1,1,3,Meal Plan 1,0,Room_Type 1,83,2018,8,1,Online,0,0,0,135.9,1,Not_Canceled
34208,INN34209,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Not_Canceled
11998,INN11999,2,0,1,0,Meal Plan 1,0,Room_Type 1,13,2018,3,20,Offline,0,0,0,85.0,1,Not_Canceled
11197,INN11198,1,0,0,3,Meal Plan 1,0,Room_Type 1,104,2017,12,3,Offline,0,0,0,65.0,0,Not_Canceled
34341,INN34342,3,0,0,3,Meal Plan 1,0,Room_Type 1,25,2018,10,19,Online,0,0,0,159.0,0,Canceled
